indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version
IND-NIV-006,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,21308.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,43813.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,10112.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,26383.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,36546.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,37216.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,66465.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,21399.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0731,HT0731,Aquin,Aken,Sud,61824.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,33291.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-1024,HT1024,Arnaud,Ano,Nippes,12873.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0723,HT0723,Arniquet,Anikè,Sud,7588.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0332,HT0332,Bahon,Baron,Nord,5631.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,45110.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0221,HT0221,Bainet,Benè,Sud-Est,22708.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-1031,HT1031,Baradères,Baradè,Nippes,25281.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,4831.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0913,HT0913,Bassin Bleu,Basenble,Nord-Ouest,86586.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,19319.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0632,HT0632,Belladère,Beladè,Centre,26837.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
IND-NIV-006,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,43279.0,personnes,2025,A,B,"OCHA — Aperçu des besoins humanitaires Haïti 2025 (CC BY-IGO 3.0), servi par HDX HAPI",v1.2026.08
